ObjectName,ModelFilePath,CollitionFilePath,PosX,PozY,PosZ,RotX,RotY,RotZ,EffectFlag
0,Resources/Models/Floor.cmo,Resources/ModelMesh/Floor.obj,0,0,0,0,0,0,0
0,Resources/Models/Post.cmo,Resources/ModelMesh/Post.obj,77,14,150,0,180,0,1
1,Resources/Models/WallObject.cmo,Resources/ModelMesh/WallCollition.obj,225,28,123,0,270,0,1
2,-1,-1,2281,14,152,0,90,0,0
4,-1,-1,434,93,154,0,0,0,0
1,Resources/Models/WallObject.cmo,Resources/ModelMesh/WallCollition.obj,965,36,118,0,270,0,1
1,Resources/Models/WallObject.cmo,Resources/ModelMesh/WallCollition.obj,1031,36,164,0,270,0,1
1,Resources/Models/WallObject.cmo,Resources/ModelMesh/WallCollition.obj,1090,36,120,0,270,0,1
4,-1,-1,1550,93,122,0,0,0,0
4,-1,-1,1696,93,122,0,0,0,0
4,-1,-1,1838,93,122,0,0,0,0
5,Resources/Models/Signboard.cmo,Resources/Texture/Effect/Signboard/wasd.png,12,6,15,0,200,0,0
5,Resources/Models/Signboard.cmo,Resources/Texture/Effect/Signboard/dash.png,-22,6,50,0,170,0,0
5,Resources/Models/Signboard.cmo,Resources/Texture/Effect/Signboard/ctrl.png,64,20,174,0,250,0,0
5,Resources/Models/Signboard.cmo,Resources/Texture/Effect/Signboard/jump.png,122,20,174,0,250,0,0
5,Resources/Models/Signboard.cmo,Resources/Texture/Effect/Signboard/kabe.png,200,20,174,0,250,0,0
5,Resources/Models/Signboard.cmo,Resources/Texture/Effect/Signboard/daijamp.png,369,25,174,0,250,0,0
5,Resources/Models/Signboard.cmo,Resources/Texture/Effect/Signboard/wctrl.png,549,62,174,0,250,0,0
5,Resources/Models/Signboard.cmo,Resources/Texture/Effect/Signboard/yajirusi.png,935,35,174,0,250,0,0
